statefp,countyfp,area
"40","043",2611.711
"42","093",342.734
"36","037",1282.843
"31","185",1491.389
"21","213",612.442
"05","053",1639.281
"28","037",1467.910
"42","105",2801.173
"40","073",2346.618
"27","053",1570.998
"17","021",1853.797
"26","133",1484.099
"51","031",1312.195
"49","021",8548.866
"46","019",5870.250
"51","730",59.423
"13","021",660.203
"41","015",5152.105
"06","081",1919.071
"53","075",5640.711
"29","217",2167.365
"08","039",4794.087
"48","379",670.361
"20","067",1489.617
"27","011",1367.818
"21","079",605.911
"21","115",684.108
"30","001",14433.839
"72","085",87.781
"49","033",2813.808
"12","053",1525.554
"48","019",2065.955
"30","097",4823.273
"28","151",1971.566
"19","045",1839.346
"72","127",199.308
"20","113",2332.551
"01","081",1595.041
"38","003",3919.699
"22","043",1721.444
"27","109",1696.087
"42","099",1438.836
"08","117",1603.874
"13","223",814.141
"13","079",845.511
"37","153",1242.425
"05","079",1481.899
"13","199",1308.995
"48","099",2736.981
"19","001",1477.002
"08","014",
"12","081",2312.164
"37","139",749.362
"42","057",1134.558
"17","075",2898.281
"19","157",1517.907
"01","083",1572.608
"51","141",1257.987
"38","045",2980.964
"06","045",10044.374
"48","055",1417.124
"27","049",2019.037
"37","173",1399.227
"41","045",25718.052
"35","021",5506.126
"28","023",1796.247
"46","041",6333.238
"45","077",
"18","023",1049.580
"13","003",892.339
"72","021",115.294
"51","127",579.588
"48","167",2263.126
"39","151",1503.703
"17","089",1357.625
"45","055",1917.265
"21","141",1442.703
"21","031",1117.515
"13","309",777.691
"41","009",1784.439
"37","061",2124.354
"22","009",2242.221
"31","161",6396.776
"13","229",888.961
"19","107",1502.001
"05","005",1519.676
"44","007",1128.423
"13","107",1787.569
"31","153",641.084
"13","071",1441.689
"17","173",1989.279
"04","007",12420.268
"28","041",1861.415
"55","005",2304.476
"12","107",2141.716
"26","025",1860.467
"20","127",1820.475
"02","170",65465.295
"29","095",1596.320
"48","337",2430.122
"51","043",461.355
"28","153",2107.001
"19","149",2236.892
"32","029",685.562
"28","159",1580.115
"28","053",1116.890
"45","049",1457.400
"13","185",1322.384
"48","331",2646.557
"51","007",928.568
"13","243",1115.956
"48","399",2737.864
"18","011",1096.214
"40","117",1540.877
"55","009",1594.742
"17","133",1031.746
"37","191",1444.493
"39","011",1040.930
"36","081",461.099
"29","099",1720.489
"36","063",2951.730
"46","047",4530.314
"19","073",1479.559
"46","045",2981.246
"18","071",1331.011
"42","003",1928.301
"38","093",5951.975
"19","171",1870.180
"12","089",1880.126
"13","057",1125.068
"29","199",1137.766
"31","093",1490.778
"55","099",3310.087
"20","083",2228.196
"23","009",6073.343
"45","079",1999.307
"16","047",1901.405
"37","041",605.146
"08","009",6623.544
"48","035",2596.574
"17","015",1209.479
"27","125",1120.157
"42","115",2155.236
"36","025",3800.670
"42","071",2548.030
"29","510",170.921
"35","011",6045.910
"22","111",2344.886
"25","015",1412.201
"40","017",2345.263
"39","017",1217.362
"41","005",4876.908
"18","007",1052.853
"17","185",589.378
"41","007",2806.502
"19","027",1476.980
"12","051",3081.657
"30","087",13015.245
"26","123",2231.789
"20","051",2331.959
"31","103",2004.450
"47","159",842.711
"51","063",988.776
"13","145",1224.952
"48","311",2996.052
"36","031",4963.104
"08","099",4258.775
"39","131",1149.892
"01","131",2350.133
"10","003",1279.526
"20","165",1859.542
"18","107",1309.098
"11","001",177.028
"20","059",1494.776
"54","035",1221.514
"13","137",722.782
"06","041",2145.006
"48","401",2430.462
"13","053",650.503
"16","009",2031.046
"13","019",1185.911
"26","143",1502.249
"40","019",2159.484
"35","055",5707.503
"01","053",2468.620
"35","017",10274.775
"39","123",1515.343
"40","005",2563.682
"40","111",1819.332
"38","083",2604.252
"72","081",159.641
"55","089",2890.930
"55","117",3292.499
"32","005",1910.488
"12","101",2249.276
"56","007",20626.604
"13","059",313.473
"13","159",967.268
"42","069",1204.114
"12","031",2378.809
"05","149",2457.354
"31","011",1779.885
"37","107",1039.530
"31","119",1490.411
"17","191",1853.035
"72","023",459.493
"51","036",528.986
"08","011",3991.397
"05","047",1604.861
"22","075",6649.073
"55","001",1780.565
"45","085",1766.592
"12","005",2675.854
"21","195",2042.379
"23","017",5635.178
"28","129",1650.526
"20","007",2942.653
"22","103",2837.535
"12","111",1781.500
"21","157",881.038
"42","087",1074.110
"20","153",2770.191
"12","003",1525.425
"48","195",2383.845
"48","071",2256.364
"16","061",1242.482
"13","133",1052.082
"27","149",1490.067
"37","111",1153.455
"21","123",682.813
"46","107",2327.509
"38","095",2697.297
"39","061",1068.744
"20","185",2058.825
"49","047",11665.437
"51","011",868.842
"05","087",2168.039
"21","205",741.423
"20","125",1687.330
"47","155",1548.028
"04","023",3204.922
"19","087",1130.575
"29","121",2104.031
"46","059",3730.147
"21","133",878.092
"38","079",2432.883
"21","073",549.099
"54","013",726.957
"05","017",1789.139
"13","157",888.623
"08","051",8442.406
"31","169",1489.179
"20","155",3294.750
"51","650",353.004
"39","031",1469.774
"02","105",
"60","030",147.466
"50","019",1867.819
"21","233",869.344
"31","039",1488.343
"01","027",1569.537
"13","115",1342.819
"31","043",692.616
"54","079",907.529
"13","193",
"37","027",1229.231
"20","101",1858.632
"37","063",771.461
"30","049",9058.661
"47","169",302.104
"12","011",3426.090
"48","133",2413.647
"39","125",1084.807
"19","159",1395.656
"42","065",1701.106
"46","073",1379.405
"32","021",9875.563
"40","115",1255.125
"37","013",2493.765
"28","143",1245.141
"18","005",1060.684
"05","051",1902.419
"56","043",5808.569
"27","071",8168.822
"48","461",3215.475
"06","075",
"54","061",947.624
"48","381",2389.113
"29","089",1221.086
"12","013",1487.465
"46","077",2237.139
"48","153",2570.621
"41","043",5973.992
"48","375",2387.909
"47","019",900.525
"36","059",1174.472
"37","011",641.047
"16","003",3547.009
"06","109",5890.803
"72","093",94.864
"39","037",1553.318
"54","047",1385.380
"09","009",2232.758
"55","105",1880.686
"26","157",2367.018
"05","093",2382.308
"28","095",1999.719
"48","437",2332.781
"06","017",4626.642
"37","073",895.474
"38","019",3910.722
"48","163",2937.947
"33","013",2473.376
"13","031",1783.563
"28","115",1297.639
"48","053",2645.057
"13","259",1200.752
"01","077",1863.755
"51","740",120.906
"01","029",1453.019
"47","187",1512.625
"17","017",993.768
"16","015",4938.931
"16","079",6844.862
"19","105",1494.627
"01","045",1457.328
"49","009",1866.416
"35","019",7849.961
"51","003",1880.238
"28","021",1298.111
"01","123",1984.589
"48","023",2333.756
"27","051",1490.491
"20","037",1541.073
"33","011",2311.512
"48","355",3018.486
"36","083",1723.386
"04","025",21050.231
"34","027",1247.142
"29","211",1687.388
"48","415",2350.528
"20","025",2530.904
"26","051",1336.298
"45","057",1437.569
"34","003",638.266
"72","031",156.237
"49","055",6389.062
"17","101",969.015
"17","019",2586.009
"40","143",1519.843
"39","121",1047.831
"19","139",1163.240
"54","021",880.800
"28","057",1399.759
"23","013",2962.801
"08","021",3343.659
"22","121",527.896
"51","800",1110.865
"29","049",1096.815
"39","159",1131.417
"22","065",
"31","027",1931.734
"29","063",1102.873
"51","683",25.656
"72","089",120.511
"42","039",2687.149
"47","063",455.328
"48","219",2353.170
"48","365",2127.212
"20","197",2071.166
"34","001",1740.045
"55","071",3869.640
"53","069",742.545
"31","137",1399.695
"48","147",2328.098
"20","043",1031.530
"02","130",17230.995
"37","057",1470.164
"42","117",2944.727
"32","013",25013.732
"17","005",991.536
"22","107",1660.676
"08","111",1005.697
"41","029",7255.365
"18","091",1588.335
"17","033",1154.776
"39","051",1054.689
"19","195",1041.024
"18","137",1160.474
"17","055",1117.506
"01","017",1562.057
"47","141",1042.638
"38","009",4396.011
"27","033",1679.772
"05","133",1505.965
"02","020",5035.064
"39","161",1062.981
"26","009",1558.540
"26","075",1873.838
"28","109",2122.090
"21","117",425.528
"47","073",1294.010
"55","085",3202.705
"22","035",1145.893
"21","151",1148.036
"48","251",1902.226
"18","049",961.573
"28","149",1602.047
"13","139",1111.880
"08","045",7655.505
"72","153",176.997
"25","013",1642.414
"19","059",1046.255
"51","061",1687.962
"55","007",5287.978
"21","063",609.484
"32","510",407.257
"04","003",16100.844
"12","007",778.267
"28","091",1420.920
"72","111",175.769
"51","530",16.894
"38","001",2560.628
"48","457",2423.252
"35","033",4995.057
"13","167",794.072
"05","095",1609.162
"54","019",1731.013
"31","149",2620.274
"51","197",1203.683
"48","471",2075.872
"72","145",176.573
"13","091",1303.067
"55","041",2710.473
"31","067",2227.286
"49","035",2086.847
"09","003",1944.088
"31","085",1847.392
"42","047",2155.675
"51","700",309.824
"48","179",2406.963
"05","067",1661.253
"23","031",3288.534
"28","007",1907.955
"18","149",808.609
"27","123",440.570
"27","113",1601.261
"48","253",2427.174
"72","147",683.734
"56","021",6960.704
"48","335",2372.201
"51","678",6.541
"37","079",692.068
"21","167",656.064
"31","061",1491.844
"20","207",1308.599
"30","077",6040.669
"02","158",50915.578
"28","027",1510.358
"12","023",2075.404
"48","447",2371.086
"05","029",1467.717
"29","147",2273.688
"38","073",2237.375
"47","121",561.375
"19","041",1483.006
"29","077",1755.701
"42","077",901.882
"19","033",1489.550
"48","105",7270.989
"08","075",4778.312
"40","077",1888.487
"39","167",1657.590
"18","067",761.253
"21","047",1875.262
"26","101",3317.055
"40","139",5306.093
"13","237",934.174
"47","077",1362.036
"54","043",1135.949
"47","167",
"48","183",714.259
"24","011",844.127
"39","173",1607.161
"16","007",2718.488
"48","285",2513.418
"39","045",1317.169
"53","057",4965.099
"01","007",1621.770
"46","031",6551.766
"21","187",917.494
"27","055",1473.281
"21","181",509.768
"45","025",2086.629
